Temperature,MgCl2_concentration,pH_f,Incubation_time,DNase_I_concentration,Rectangles,Rods,Spheres,Diffusion_Coefficient
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.3
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.32
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.3
4,50.0,7.4,1440,0.0,0.0,1.0,0.0,2.08
4,50.0,7.4,1440,0.0,0.0,1.0,0.0,2.22
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,3.97
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,4.29
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,4.01
50,10.0,7.4,60,0.0,0.0,1.0,0.0,3.11
50,10.0,7.4,60,0.0,0.0,1.0,0.0,3.15
50,10.0,7.4,60,0.0,0.0,1.0,0.0,2.9
50,10.0,7.4,60,0.0,0.0,1.0,0.0,3.46
50,10.0,7.4,60,0.0,0.0,1.0,0.0,3.33
50,10.0,7.4,60,0.0,0.0,1.0,0.0,3.33
40,10.0,7.4,60,0.0,0.0,1.0,0.0,2.51
40,10.0,7.4,60,0.0,0.0,1.0,0.0,2.51
40,10.0,7.4,60,0.0,0.0,1.0,0.0,2.69
40,10.0,7.4,60,0.0,0.0,1.0,0.0,1.25
40,10.0,7.4,60,0.0,0.0,1.0,0.0,0.622
40,10.0,7.4,60,0.0,0.0,1.0,0.0,0.698
60,10.0,7.4,60,0.0,0.0,1.0,0.0,0.263
60,10.0,7.4,60,0.0,0.0,1.0,0.0,0.117
60,10.0,7.4,60,0.0,0.0,1.0,0.0,0.111
60,10.0,7.4,60,0.0,0.0,1.0,0.0,0.495
60,10.0,7.4,60,0.0,0.0,1.0,0.0,0.231
60,10.0,7.4,60,0.0,0.0,1.0,0.0,0.48
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.66
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.67
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.59
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.32
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.29
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.31
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.31
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.19
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.13
30,10.0,7.4,60,0.0,0.0,1.0,0.0,3.57
30,10.0,7.4,60,0.0,0.0,1.0,0.0,3.18
30,10.0,7.4,60,0.0,0.0,1.0,0.0,3.24
30,10.0,7.4,60,0.0,0.0,1.0,0.0,3.05
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.73
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.75
35,10.0,7.4,60,0.0,0.0,1.0,0.0,2.76
35,10.0,7.4,60,0.0,0.0,1.0,0.0,2.94
35,10.0,7.4,60,0.0,0.0,1.0,0.0,2.86
35,10.0,7.4,60,0.0,0.0,1.0,0.0,2.79
35,10.0,7.4,60,0.0,0.0,1.0,0.0,2.73
35,10.0,7.4,60,0.0,0.0,1.0,0.0,3.07
35,10.0,7.4,60,0.0,0.0,1.0,0.0,4.23
35,10.0,7.4,60,0.0,0.0,1.0,0.0,4.12
35,10.0,7.4,60,0.0,0.0,1.0,0.0,3.65
45,10.0,7.4,60,0.0,0.0,1.0,0.0,3.82
45,10.0,7.4,60,0.0,0.0,1.0,0.0,3.86
45,10.0,7.4,60,0.0,0.0,1.0,0.0,4.53
45,10.0,7.4,60,0.0,0.0,1.0,0.0,2.76
45,10.0,7.4,60,0.0,0.0,1.0,0.0,2.75
45,10.0,7.4,60,0.0,0.0,1.0,0.0,2.85
45,10.0,7.4,60,0.0,0.0,1.0,0.0,2.78
45,10.0,7.4,60,0.0,0.0,1.0,0.0,2.76
45,10.0,7.4,60,0.0,0.0,1.0,0.0,2.78
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,3.55
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,3.51
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,3.44
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.18
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.14
