Temperature,MgCl2_concentration,pH_f,Incubation_time,DNase_I_concentration,Rectangles,Rods,Spheres,Diffusion_Coefficient
37,10.0,7.4,60,1.0,0.0,1.0,0.0,3.12
4,10.0,7.4,4320,0.0,1.0,0.0,0.0,5.05
37,50.0,6.83,60,0.0,0.0,0.0,1.0,1.5
37,10.0,7.17,60,5.0,1.0,0.0,0.0,0.454
37,10.0,7.2,60,5.0,0.0,0.0,1.0,0.105
37,0.2,0.46,60,0.0,0.0,0.0,1.0,3.41
70,10.0,7.4,60,0.0,1.0,0.0,0.0,1.27
4,50.0,7.4,1440,0.0,0.0,1.0,0.0,2.08
4,10.0,7.02,60,0.0,1.0,0.0,0.0,1.88
80,10.0,7.4,60,0.0,0.0,0.0,1.0,5.51
37,10.0,7.4,60,5.0,0.0,1.0,0.0,2.76
4,10.0,7.36,60,0.0,0.0,0.0,1.0,4.48
4,1.0,7.4,1440,0.0,0.0,1.0,0.0,2.26
37,10.0,2.82,120,0.0,1.0,0.0,0.0,2.72
70,2.8,7.4,60,0.0,0.0,1.0,0.0,3.03
37,1.0,8.57,60,0.0,0.0,0.0,1.0,1.73
37,10.0,12.55,60,0.0,0.0,1.0,0.0,0.338
37,10.0,9.26,120,0.0,1.0,0.0,0.0,0.246
37,10.0,2.79,60,0.0,0.0,1.0,0.0,2.71
37,20.0,6.93,60,0.0,0.0,0.0,1.0,1.85
4,30.0,7.4,1440,0.0,0.0,1.0,0.0,2.79
4,10.0,7.4,30,0.0,0.0,1.0,0.0,2.62
37,10.0,3.82,60,0.0,0.0,0.0,1.0,1.8
25,2.8,7.4,60,0.0,0.0,1.0,0.0,2.74
37,10.0,7.12,60,1.0,0.0,0.0,1.0,0.428
4,15.0,7.4,1440,0.0,0.0,1.0,0.0,2.98
37,10.0,7.1,60,1.0,1.0,0.0,0.0,0.162
50,10.0,7.31,180,0.0,0.0,0.0,1.0,1.4
50,10.0,7.4,60,0.0,0.0,1.0,0.0,3.11
25,10.0,7.4,60,0.0,0.0,0.0,1.0,5.87
50,10.0,7.01,60,0.0,1.0,0.0,0.0,2.2
37,0.5,7.3,60,0.0,1.0,0.0,0.0,3.88
25,10.0,7.01,60,0.0,1.0,0.0,0.0,2.08
37,10.0,8.91,60,0.0,0.0,1.0,0.0,3.21
37,10.0,5.34,60,0.0,0.0,1.0,0.0,3.07
37,1.0,6.03,60,0.0,0.0,0.0,1.0,1.76
37,30.0,6.87,60,0.0,0.0,0.0,1.0,4.19
37,40.0,6.81,60,0.0,0.0,0.0,1.0,2.92
4,40.0,7.4,1440,0.0,0.0,1.0,0.0,3.16
40,2.8,7.4,60,0.0,0.0,1.0,0.0,3.85
37,10.0,9.17,60,0.0,0.0,0.0,1.0,0.207
37,10.0,5.87,120,0.0,1.0,0.0,0.0,3.41
37,10.0,6.28,60,0.0,0.0,0.0,1.0,1.69
20,10.0,7.4,60,0.0,0.0,1.0,0.0,0.742
37,10.0,10.69,60,0.0,0.0,1.0,0.0,0.37
37,10.0,7.14,60,0.0,0.0,1.0,0.0,2.42
4,2.8,7.4,60,0.0,0.0,1.0,0.0,2.34
70,10.0,7.4,60,0.0,0.0,1.0,0.0,1.33
60,10.0,7.4,60,0.0,0.0,0.0,1.0,4.95
70,10.0,7.09,60,0.0,0.0,0.0,1.0,1.07
37,10.0,7.4,60,0.2,1.0,0.0,0.0,0.67
60,10.0,7.16,60,0.0,1.0,0.0,0.0,2.21
60,10.0,7.26,60,0.0,0.0,1.0,0.0,3.32
60,2.8,7.4,60,0.0,0.0,1.0,0.0,3.07
50,2.8,7.4,60,0.0,0.0,1.0,0.0,2.75
37,10.0,2.23,60,0.0,0.0,0.0,1.0,3.29
37,5.0,7.34,60,0.0,0.0,0.0,1.0,3.28
37,10.0,7.4,360,0.0,0.0,0.0,1.0,5.66
37,1.0,4.67,60,0.0,0.0,0.0,1.0,2.58
37,15.0,7.08,60,0.0,0.0,0.0,1.0,2.99
4,20.0,7.4,1440,0.0,0.0,1.0,0.0,2.43
4,10.0,7.4,1440,0.0,0.0,1.0,0.0,2.3
37,0.18,7.21,60,0.0,0.0,0.0,1.0,2.2
30,10.0,7.4,60,0.0,0.0,1.0,0.0,2.66
33,2.8,7.4,60,0.0,0.0,1.0,0.0,2.49
37,5.0,7.21,60,0.0,1.0,0.0,0.0,3.25
43,10.0,7.4,60,0.0,0.0,1.0,0.0,2.41
37,10.0,7.22,60,0.2,0.0,0.0,1.0,0.115
37,10.0,3.78,60,0.0,1.0,0.0,0.0,0.221
4,5.0,7.4,1440,0.0,0.0,1.0,0.0,2.63
30,10.0,7.07,60,0.0,0.0,0.0,1.0,2.98
30,10.0,7.27,120,0.0,1.0,0.0,0.0,2.32
37,10.0,8.08,60,0.0,0.0,1.0,0.0,2.37
25,10.0,7.37,60,0.0,0.0,1.0,0.0,3.26
20,2.8,7.4,60,0.0,0.0,1.0,0.0,2.31
45,2.8,7.4,60,0.0,0.0,1.0,0.0,3.44
37,0.18,7.4,60,0.0,0.0,1.0,0.0,3.2
40,10.0,7.21,180,0.0,1.0,0.0,0.0,4.72
37,10.0,4.6,60,0.0,0.0,0.0,1.0,4.45
37,10.0,6.37,60,0.0,0.0,1.0,0.0,2.77
37,10.0,2.99,60,0.0,0.0,0.0,1.0,3.18
37,5.0,7.4,60,0.0,0.0,1.0,0.0,3.31
40,10.0,7.4,60,0.0,0.0,0.0,1.0,6.72
37,10.0,11.35,60,0.0,0.0,1.0,0.0,0.337
37,10.0,7.4,270,0.0,0.0,1.0,0.0,1.85
37,7.5,7.19,60,0.0,0.0,0.0,1.0,2.32
37,10.0,7.0,60,0.0,1.0,0.0,0.0,2.53
37,7.5,7.4,60,0.0,0.0,1.0,0.0,3.32
35,10.0,7.4,60,0.0,0.0,0.0,1.0,5.62
37,2.5,7.43,60,0.0,0.0,0.0,1.0,3.21
37,10.0,8.68,60,0.0,1.0,0.0,0.0,0.15
37,10.0,3.34,60,0.0,0.0,1.0,0.0,4.0
37,10.0,7.4,60,0.2,0.0,1.0,0.0,3.64
37,10.0,12.03,60,0.0,0.0,1.0,0.0,0.323
37,10.0,7.4,180,0.0,1.0,0.0,0.0,0.419
37,10.0,7.18,180,0.0,0.0,0.0,1.0,1.64
37,3.0,7.3,60,0.0,1.0,0.0,0.0,2.24
37,2.2,7.4,60,0.0,0.0,1.0,0.0,3.1
40,10.0,7.36,60,0.0,0.0,1.0,0.0,3.3
33,10.0,7.4,60,0.0,0.0,1.0,0.0,1.64
